code,name,description,refreshed_at,from_date,to_date
130442,SBI Mutual Fund - SBI DEBT FUND SERIES A - 35 (369 DAYS) REGULAR PLAN - GROWTH,ISIN Div Payout/ ISIN Growth: INF200KA1FK8,2017-12-27 20:02:12,2016-08-30,2017-12-14
130443,SBI Mutual Fund - SBI DEBT FUND SERIES A - 35 (369 Days) REGULAR PLAN - DIVIDEND,ISIN Div Payout/ ISIN Growth: INF200KA1FL6,2017-07-07 11:04:18,2016-08-30,2017-07-06
130445,SBI Mutual Fund - SBI DEBT FUND SERIES A - 35 (369 DAYS) DIRECT PLAN - GROWTH,ISIN Div Payout/ ISIN Growth: INF200KA1FM4,2017-12-27 20:02:12,2016-08-30,2017-12-14
130446,L&T Mutual Fund - L&T Arbitrage Opportunities Fund - Regular Plan - Growth,ISIN Div Payout/ ISIN Growth: INF917K01QL8,2018-10-03 11:01:27,2016-08-30,2018-10-01
130447,L&T Mutual Fund - L&T Arbitrage Opportunities Fund - Direct Plan - Monthly Dividend,ISIN Div Payout/ ISIN Growth: INF917K01QN4<br><br>ISIN Div Reinvestment: INF917K01QS3,2018-10-03 11:01:27,2016-08-30,2018-10-01
130448,L&T Mutual Fund - L&T Arbitrage Opportunities Fund - Direct Plan - Quarterly Dividend,ISIN Div Payout/ ISIN Growth: INF917K01QV7<br><br>ISIN Div Reinvestment: INF917K01QU9,2018-10-03 11:01:27,2016-08-30,2018-10-01
130449,L&T Mutual Fund - L&T Arbitrage Opportunities Fund - Regular Plan - Quarterly Dividend,ISIN Div Payout/ ISIN Growth: INF917K01QP9<br><br>ISIN Div Reinvestment: INF917K01QO2,2018-10-03 11:01:27,2016-08-30,2018-10-01
130450,L&T Mutual Fund - L&T Arbitrage Opportunities Fund - Direct Plan - Growth,ISIN Div Payout/ ISIN Growth: INF917K01QR5,2018-10-03 11:01:27,2016-08-30,2018-10-01
130451,L&T Mutual Fund - L&T Arbitrage Opportunities Fund - Regular Plan - Bonus,ISIN Div Payout/ ISIN Growth: INF917K01QQ7,2018-10-03 11:01:27,2016-08-30,2018-02-21
130452,L&T Mutual Fund - L&T Arbitrage Opportunities Fund - Regular Plan - Monthly Dividend,ISIN Div Payout/ ISIN Growth: INF917K01QM6,2018-10-03 11:01:27,2016-08-30,2018-10-01
130453,L&T Mutual Fund - L&T Arbitrage Opportunities Fund - Direct Plan - Bonus,ISIN Div Payout/ ISIN Growth: INF917K01QW5,2018-10-03 11:01:27,2016-08-30,2017-11-10
130458,UTI Mutual Fund - UTI FTIF Series XIX - IX (369 Days) - Growth Option,ISIN Div Payout/ ISIN Growth: INF789FA1RX2,2017-12-27 20:02:18,2016-08-30,2017-07-06
130459,BNP Paribas Mutual Fund - BNP PARIBAS LIQUID FUND - REGULAR PLAN - GROWTH OPTION,ISIN Div Payout/ ISIN Growth: INF251K01NF1,2018-10-03 11:01:01,2016-08-30,2018-10-02
130460,UTI Mutual Fund - UTI FTIF Series XIX - IX (369 Days) - Quarterly Div Option - Direct,ISIN Div Payout/ ISIN Growth: INF789FA1RK9<br><br>ISIN Div Reinvestment: INF789FA1RL7,2017-12-27 20:02:18,2015-07-06,2015-07-06
130461,UTI Mutual Fund - UTI FTIF Series XIX - IX (369 Days) - Quarterly Div Option,ISIN Div Payout/ ISIN Growth: INF789FA1RS2<br><br>ISIN Div Reinvestment: INF789FA1RT0,2017-12-27 20:02:18,2015-07-06,2015-07-06
130462,UTI Mutual Fund - UTI FTIF Series XIX - IX (369 Days) - Growth Option - Direct,ISIN Div Payout/ ISIN Growth: INF789FA1RP8,2017-12-27 20:02:18,2016-08-30,2017-07-06
130463,UTI Mutual Fund - UTI FTIF Series XIX - IX (369 Days)- Annual Div Option,ISIN Div Payout/ ISIN Growth: INF789FA1RU8<br><br>ISIN Div Reinvestment: INF789FA1RV6,2017-12-27 20:02:18,2016-08-30,2017-07-06
130464,UTI Mutual Fund - UTI FTIF Series XIX - IX (369 Days) - Annual Div Option - Direct,ISIN Div Payout/ ISIN Growth: INF789FA1RM5<br><br>ISIN Div Reinvestment: INF789FA1RN3,2017-12-27 20:02:18,2016-08-30,2017-07-06
