Exchange,Stock,Stock_Name,Sector,Market_Cap,Weight_per
ASX,AYF,Australian Enhanced Units FP,,19509200,0.001
ASX,AYG,Axxis Technology Group,Information Technology,38938,0
ASX,AYI,A1 Invest & Res Limited,Financials,10807300,0.001
ASX,AYK,Amyf Four Limited,,19917900,0.001
ASX,AYM,Australia United Min,Materials,5078130,0
ASX,AYR,Alloy Resources,Materials,5805340,0
ASX,AYS,Amaysim Aus Limited,Telecommunication Services,215009000,0.01
ASX,AYZ,Amyf Five Limited,,54596200,0.003
ASX,AZI,Alta ZINC Limited,Materials,8213790,0
ASX,AZJ,Aurizon Holdings Limited,Industrials,8179430000,0.383
ASX,AZM,Azumah Resources,Materials,16425200,0.001
ASX,AZS,AZURE Minerals,Materials,22200000,0.001
ASX,AZV,AZURE Healthcare Limited,Health Care,20944200,0.001
ASX,AZY,Antipa Minerals Limited,Materials,28888100,0.001
ASX,B2Y,Bounty Mining,Materials,68578300,0.003
ASX,BAF,Blue Sky Alt Access,,185742000,0.009
ASX,BAH,Bojun Agriculture,Consumer Staples,35238500,0.002
ASX,BAL,Bellamy's Australia,Consumer Staples,1159760000,0.054
ASX,BAP,Bapcor Limited,Consumer Discretionary,2146670000,0.101
ASX,BAR,Barra Resources,Materials,21235600,0.001
ASX,BAS,Bass Oil Limited,Energy,10424700,0
ASX,BAT,Battery Minerals Limited,Materials,32296500,0.002
ASX,BAU,Bauxite Resource Limited,Materials,12007700,0.001
ASX,BBL,Brisbane Broncos,Consumer Discretionary,48039900,0.002
ASX,BBN,Baby Bunting Group Limited,Consumer Discretionary,293535000,0.014
ASX,BBOZ,Beta Aust STR Bear Trading Managed Fund Units FP,,94611000,0.004
ASX,BBR,Bora Bora Resources,Materials,2418490,0
ASX,BBUS,Beta US Strong Bear Trading Managed Fund Units FP,,63900000,0.003
ASX,BBX,BBX Minerals Limited,Materials,63458800,0.003
ASX,BC8,Black Cat Syndicate,Materials,6317900,0
ASX,BCB,Bowen Coal Limited,Materials,5243960,0
ASX,BCI,BCI Minerals Limited,Materials,51689200,0.002
ASX,BCK,Brockman Mining Limited,Materials,293183000,0.014
ASX,BCL,Bunji Corp Limited,Energy,1356180,0
ASX,BCN,Beacon Minerals,Materials,39384500,0.002
ASX,BCT,Bluechiip Limited,Information Technology,31375000,0.001
ASX,BD1,BARD1 Life Sciences,,9115290,0
ASX,BDA,Bod Australia,Consumer Discretionary,27429000,0.001
ASX,BDG,Black Dragon Gold Chess Depositary Interests 1:1,Materials,4420080,0
ASX,BDI,Blina Minerals NL,Materials,4313880,0
ASX,BDR,Beadell Resource Limited,Materials,98741500,0.005
ASX,BEAR,Betashares Aust BEAR ETF Units FP,,49329600,0.002
ASX,BEE,Broo Limited,Consumer Staples,19979700,0.001
ASX,BEL,Bentley Capital Limited,Financials,7612790,0
ASX,BEM,Blackearth Minerals,Materials,4600190,0
ASX,BEN,Bendigo and Adelaide,Financials,5211550000,0.244
ASX,BFC,Beston Global Limited,Consumer Staples,76912600,0.004
ASX,BFG,Bell Financial Group,Financials,335177000,0.016
ASX,BGA,Bega Cheese Limited,Consumer Staples,1449260000,0.068
ASX,BGH,Bligh Resources Limited,Materials,12008300,0.001
ASX,BGL,Bellevue Gold Limited,Materials,92402600,0.004
ASX,BGP,Briscoe Group Foreign Exempt NZX,,705355000,0.033
ASX,BGR,Bronson Group Limited,Financials,259888,0
ASX,BGS,Birimian Limited,Materials,66564800,0.003
ASX,BGT,Bio-Gene Technology,Materials,14620800,0.001
ASX,BHD,Benjamin Horngld Limited,,17150200,0.001
ASX,BHL,Boyuan Holdings,Real Estate,102939000,0.005
ASX,BHP,BHP Billiton Limited,Materials,111221000000,5.21
ASX,BID,Bidenergy Limited,Information Technology,99991400,0.005
ASX,BILL,Ishares Core Cash ETF Units FP,,248249000,0.012
ASX,BIN,Bingo Industries Limited,Industrials,1828040000,0.086
ASX,BIQ,Buildingiq Inc Cdi 1:1,Information Technology,4321230,0
ASX,BIR,BIR Financial Limited,Financials,12842200,0.001
ASX,BIS,Bisalloy Steel,Materials,42167900,0.002
ASX,BIT,Biotron Limited,Health Care,20599300,0.001
ASX,BKI,BKI Investment Limited,Financials,1113120000,0.052
ASX,BKL,Blackmores Limited,Consumer Staples,2283410000,0.107
ASX,BKM,BKM Management Limited,Industrials,3644070,0
ASX,BKP,Baraka Energy Res,Energy,16170900,0.001
ASX,BKT,Black Rock Mining,Materials,17743200,0.001
ASX,BKW,Brickworks Limited,Materials,2617630000,0.123
ASX,BKY,Berkeley Energia Limited,Energy,171846000,0.008
ASX,BLA,Blue Sky Limited,Financials,122888000,0.006
ASX,BLD,Boral Limited,Materials,8100810000,0.379
ASX,BLG,Bluglass Limited,Information Technology,119218000,0.006
ASX,BLK,Blackham Resources,Materials,53151800,0.002
ASX,BLT,Benitec Biopharma,Health Care,46265300,0.002
ASX,BLX,Beacon Lighting Group,Consumer Discretionary,330087000,0.015
ASX,BLY,Boart Longyear,Industrials,157739000,0.007
ASX,BLZ,BLAZE International,Energy,6425880,0
ASX,BMG,BMG Resources Limited,Materials,3474330,0
ASX,BMH,Baumart Holdings Limited,Industrials,34015000,0.002
ASX,BMN,Bannerman Resources,Energy,57725100,0.003
ASX,BMP,Buymyplace Limited,Real Estate,4725600,0
ASX,BMT,Berkut Minerals Limited,Materials,3919070,0
ASX,BNKS,Beta Global Banks ETF Units FP,,75340300,0.004
ASX,BNL,Big Star Energy Limited,Energy,3641000,0
ASX,BNO,Bionomics Limited,Health Care,241452000,0.011
ASX,BNR,Bulletin Res Limited,Materials,8426770,0
ASX,BOA,Boadicea Resources,Materials,5020290,0
ASX,BOC,Bougainville Copper 1 Kina,Materials,62164700,0.003
ASX,BOE,Boss Resources Limited,Materials,117246000,0.005
ASX,BOL,Boom Logistics,Industrials,104471000,0.005
ASX,BOND,SPDR Aust BOND ETF Units FP,,23523300,0.001
ASX,BOQ,Bank of Queensland,Financials,4378380000,0.205
ASX,BOT,Botanix Pharma Limited,Health Care,74227600,0.003
ASX,BPG,Byte Power Group,Consumer Discretionary,27585600,0.001
ASX,BPH,BPH Energy Limited,Health Care,966187,0
ASX,BPL,Broken Hill Prospect,Materials,6950520,0
ASX,BPP,Babylon Pump & Power,Industrials,7067420,0
ASX,BPT,Beach Energy Limited,Energy,4872850000,0.228
ASX,BRB,Breaker Res NL,Materials,46768500,0.002
ASX,BRC,Brain Resource Limited,Health Care,22312900,0.001
ASX,BRG,Breville Group Limited,Consumer Discretionary,1701650000,0.08
ASX,BRI,Big RIV Indust Limited,Materials,103966000,0.005
ASX,BRK,Brookside Energy Limited,Energy,16837200,0.001
ASX,BRL,Bathurst Res Limited,Materials,175555000,0.008
ASX,BRN,Brainchip Limited,Information Technology,147612000,0.007
ASX,BRO,Broad Investments,Telecommunication Services,3957780,0
ASX,BRU,Buru Energy,Energy,114500000,0.005
ASX,BSA,BSA Limited,Industrials,118617000,0.006
ASX,BSE,Base Res Limited,Materials,298807000,0.014
ASX,BSL,Bluescope Steel Limited,Materials,9303600000,0.436
ASX,BSM,Bass Metals Limited,Materials,61540000,0.003
ASX,BSN,Bisan Limited,Financials,519422,0
ASX,BSP,Black Star Petroleum,Energy,1295030,0
ASX,BSR,Bassari Resources,Materials,44582400,0.002
ASX,BST,Barrack ST Invest,,18867600,0.001
ASX,BSX,Blackstone Limited,Materials,13482900,0.001
ASX,BTC,BTC Health Limited,Financials,22801900,0.001
ASX,BTH,Bigtincan Holdings Limited,Information Technology,58673400,0.003
ASX,BTI,Bailador Tech INV,Financials,108223000,0.005
ASX,BUB,Bubs Aust Limited,Consumer Staples,249902000,0.012
ASX,BUD,Buddy Platform Limited,Information Technology,48795900,0.002
ASX,BUG,Buderim Group Limited,Consumer Staples,28387200,0.001
ASX,BUL,Blue Energy Limited,Energy,81131000,0.004
ASX,BUX,Buxton Resources Limited,Materials,18290200,0.001
ASX,BUY,Bounty Oil & Gas NL,Energy,4767000,0
ASX,BVS,Bravura Solution Limited,Information Technology,944825000,0.044
ASX,BWF,Blackwall Limited,Financials,63787300,0.003
ASX,BWP,BWP Trust Ordinary Units FP,Real Estate,2145560000,0.101
ASX,BWR,Blackwall Prop Trust Ordinary Units FP,Real Estate,96954500,0.005
ASX,BWX,BWX Limited,Consumer Staples,446999000,0.021
ASX,BXB,Brambles Limited,Industrials,17364800000,0.813
ASX,BXN,Bioxyne Limited,Health Care,23685400,0.001
ASX,BYE,Byron Energy Limited,Energy,229471000,0.011
ASX,BYH,Bryah Resources Limited,Materials,4310260,0
ASX,BYI,Beyond International,Consumer Discretionary,42322500,0.002
ASX,C6C,Copper Mountain Chess Depositary Interests 1:1,Materials,38887200,0.002
ASX,CA8,Coassets Limited,Financials,25023000,0.001
ASX,CAA,Capral Limited,Materials,74444800,0.003
ASX,CAB,Cabcharge Australia,Industrials,273378000,0.013
ASX,CAD,Caeneus Minerals,Materials,14063100,0.001
ASX,CAE,Cannindah Resources,Materials,4548730,0
ASX,CAF,Centrepoint Alliance,Financials,23539900,0.001
ASX,CAG,Caperangeltd,Information Technology,48638300,0.002
ASX,CAI,Calidus Resources,Materials,22442600,0.001
ASX,CAJ,Capitol Health,Health Care,233730000,0.011
ASX,CAM,Clime Capital,,86777800,0.004
ASX,CAN,Cann Group Limited,Health Care,291773000,0.014
ASX,CAP,Carpentaria Resource,Materials,18175500,0.001
ASX,CAQ,CAQ Holdings Limited,Real Estate,27275900,0.001
ASX,CAR,Carsales.com Limited,Information Technology,3516790000,0.165
ASX,CAS,Crusader Resources,Materials,10043000,0
ASX,CAT,Catapult Group Int Limited,Information Technology,209985000,0.01
ASX,CAV,Carnavale Resources,Materials,6580000,0
ASX,CAY,Canyon Resources Limited,Materials,72221800,0.003
ASX,CAZ,Cazaly Resources,Materials,6450260,0
ASX,CBA,Commonwealth Bank,Financials,125670000000,5.887
ASX,CBC,CBG Capital Limited,,25221400,0.001
ASX,CBL,CBL Corporation Limited Foreign Exempt NZX,Financials,664894000,0.031
ASX,CCA,Change Financial Limited,Information Technology,9848120,0
ASX,CCE,Carnegie CLN Energy,Utilities,25933100,0.001
ASX,CCG,Commschoice,Information Technology,13059900,0.001
ASX,CCJ,County International,Energy,1506800,0
ASX,CCL,Coca-Cola Amatil,Consumer Staples,7066240000,0.331
ASX,CCP,Credit Corp Group,Financials,1062000000,0.05
ASX,CCV,Cash Converters,Consumer Discretionary,197260000,0.009
ASX,CCZ,Castillo Copper Limited,Materials,23203800,0.001
ASX,CD1,Cordish Dixon Pef I Ordinary Units FP,,66323300,0.003
ASX,CD2,Cordish Dixon Pef Ii Ordinary Units FP,,118659000,0.006
ASX,CD3,Cordish Dixon Pefiii Ordinary Units FP,,110924000,0.005
ASX,CDA,Codan Limited,Information Technology,576868000,0.027
ASX,CDD,Cardno Limited,Industrials,537490000,0.025
ASX,CDG,Cleveland Min Limited,Materials,27878500,0.001
ASX,CDH,Chongherr Investment,Materials,1171870,0
ASX,CDM,Cadence Capital,,385948000,0.018
ASX,CDP,Carindale Property Units FP,Real Estate,566300000,0.027
ASX,CDT,Castle Minerals,Materials,2461760,0
ASX,CDU,Cudeco Limited,Materials,92655400,0.004
ASX,CDV,Cardinal Reso Limited,Materials,172137000,0.008
